Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A,Details
Jose Altuve 2B\altuvjo01,3,0,0,0,0,1,3,.000,.000,.000,.000,7,6,-0.061,0.84,0.000,-0.061,-0.8,4,2,
Robinson Cano 2B\canoro01,0,0,0,0,1,0,1,,1.000,,,6,2,0.021,0.60,0.021,0.000,0.6,0,0,
Eduardo Nunez 2B\nunezed02,0,0,0,0,0,0,0,,,,,,,0.000,0.00,0.000,0.000,0.0,2,1,
Mike Trout CF\troutmi01,3,0,1,0,0,1,3,.333,.333,.333,.667,14,9,-0.005,0.59,0.026,-0.031,-0.2,1,0,
Ian Desmond CF\desmoia01,1,0,0,0,0,0,1,.000,.000,.000,.000,1,1,-0.005,0.70,0.000,-0.005,-0.3,2,0,
Manny Machado 3B\machama01,3,0,0,0,0,0,3,.000,.000,.000,.000,6,5,-0.058,0.80,0.000,-0.058,-0.7,0,1,
Josh Donaldson 3B\donaljo02,1,0,0,0,0,0,1,.000,.000,.000,.000,4,3,-0.028,0.86,0.000,-0.028,-0.6,0,1,
David Ortiz DH\ortizda01,1,0,0,0,1,0,2,.000,.500,.000,.500,15,9,-0.007,0.64,0.017,-0.023,0.0,,,
Edwin Encarnacion PR\encared01,1,1,0,0,1,0,2,.000,.500,.000,.500,9,4,-0.005,0.64,0.005,-0.010,0.0,,,
Xander Bogaerts SS\bogaexa01,2,0,1,0,0,0,2,.500,.500,1.000,1.500,4,4,0.033,0.90,0.058,-0.025,0.6,0,3,2B
Francisco Lindor PH-SS\lindofr01,2,0,0,0,0,0,2,.000,.000,.000,.000,5,4,-0.037,0.74,0.000,-0.037,-0.9,0,0,
Eric Hosmer 1B\hosmeer01,3,1,2,2,0,0,3,.667,.667,1.667,2.333,15,11,0.153,0.75,0.165,-0.012,1.6,5,0,HR
Miguel Cabrera 1B\cabremi01,1,0,0,0,0,1,1,.000,.000,.000,.000,5,3,-0.006,0.22,0.000,-0.006,-0.2,1,0,
Mookie Betts RF\bettsmo01,2,1,1,0,0,0,2,.500,.500,.500,1.000,9,7,-0.031,0.79,0.026,-0.057,-0.9,1,0,GDP
Carlos Beltran RF\beltrca01,1,0,0,0,0,0,1,.000,.000,.000,.000,4,2,-0.009,0.36,0.000,-0.009,-0.2,0,0,
Michael Saunders RF\saundmi01,1,0,0,0,0,0,1,.000,.000,.000,.000,2,1,-0.004,0.16,0.000,-0.004,-0.2,0,0,
Salvador Perez C\perezsa02,2,1,1,2,0,0,2,.500,.500,2.000,2.500,7,4,0.171,0.90,0.186,-0.015,1.5,4,0,HR
Matt Wieters C\wietema01,2,0,0,0,0,2,2,.000,.000,.000,.000,8,6,-0.010,0.18,0.000,-0.010,-0.2,5,1,
Jackie Bradley LF\bradlja02,2,0,2,0,0,0,2,1.000,1.000,1.000,2.000,6,6,0.033,0.43,0.033,0.000,0.5,1,0,
Mark Trumbo LF\trumbma01,1,0,0,0,0,0,1,.000,.000,.000,.000,4,3,0.015,0.38,0.015,0.000,0.4,1,0,
,,,,,,,,,,,,,,,,,,,,,
Chris Sale P\salech01,,,,,,,,,,,,,,,,,,,0,0,
Corey Kluber P\klubeco01,,,,,,,,,,,,,,,,,,,0,1,
Cole Hamels P\hamelco01,,,,,,,,,,,,,,,,,,,0,0,
Aaron Sanchez P\sanchaa01,,,,,,,,,,,,,,,,,,,0,0,
Jose Quintana P\quintjo01,,,,,,,,,,,,,,,,,,,0,0,
Kelvin Herrera P\herreke01,,,,,,,,,,,,,,,,,,,0,0,
Dellin Betances P\betande01,,,,,,,,,,,,,,,,,,,0,0,
Andrew Miller P\millean01,,,,,,,,,,,,,,,,,,,0,0,
Will Harris P\harriwi10,,,,,,,,,,,,,,,,,,,0,0,
Zach Britton P\brittza01,,,,,,,,,,,,,,,,,,,0,1,
Team Totals,32,4,8,4,3,5,35,.250,,,,131,90,0.160,0.00,0.552,-0.391,0.2,27,11,
