Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A,Details
Andrew McCutchen CF\mccutan01,3,1,1,1,0,1,3,.333,.333,1.333,1.667,8,6,0.100,1.00,0.140,-0.040,0.6,2,0,HR
A.J. Pollock CF\polloaj01,1,0,0,0,0,0,1,.000,.000,.000,.000,5,3,-0.022,0.79,0.000,-0.022,-0.2,1,0,
Todd Frazier 3B\frazito01,3,0,0,0,0,0,3,.000,.000,.000,.000,7,5,-0.067,0.89,0.000,-0.067,-0.5,0,0,
Nolan Arenado 3B\arenano01,1,0,0,0,0,1,1,.000,.000,.000,.000,3,3,-0.014,0.54,0.000,-0.014,-0.2,0,1,
Bryce Harper RF\harpebr03,3,0,0,0,0,2,3,.000,.000,.000,.000,15,9,-0.065,0.87,0.000,-0.065,-0.5,2,0,
Justin Upton RF\uptonju01,1,0,1,0,0,0,1,1.000,1.000,1.000,2.000,4,2,0.021,0.50,0.021,0.000,0.4,0,0,SB
Paul Goldschmidt 1B\goldspa01,3,1,1,0,0,1,3,.333,.333,.333,.667,13,8,0.073,0.84,0.092,-0.019,0.6,1,0,
Adrian Gonzalez 1B\gonzaad01,1,0,0,0,0,1,1,.000,.000,.000,.000,5,3,-0.020,0.73,0.000,-0.020,-0.3,3,0,
Buster Posey C\poseybu01,2,0,0,0,0,0,2,.000,.000,.000,.000,4,2,-0.029,0.98,0.000,-0.029,-0.3,6,0,
Yadier Molina C\molinya01,1,0,1,0,0,0,1,1.000,1.000,1.000,2.000,5,2,0.035,1.50,0.035,0.000,0.2,5,0,
Yasmani Grandal PH-C\grandya01,1,0,0,0,0,0,1,.000,.000,.000,.000,4,3,-0.012,0.41,0.000,-0.012,-0.3,3,0,
Anthony Rizzo DH\rizzoan01,2,0,0,0,0,0,2,.000,.000,.000,.000,9,5,-0.097,1.42,0.000,-0.097,-0.8,,,
Troy Tulowitzki PH\tulowtr01,1,0,0,0,0,0,1,.000,.000,.000,.000,4,3,-0.076,3.04,0.000,-0.076,-0.4,,,
Ryan Braun PH\braunry02,1,1,1,0,0,0,1,1.000,1.000,3.000,4.000,2,2,0.023,0.40,0.023,0.000,0.9,,,3B
Jhonny Peralta SS\peraljh01,1,0,1,1,1,0,2,1.000,1.000,1.000,2.000,6,1,0.150,1.07,0.150,0.000,1.2,2,0,
Brandon Crawford PR-SS\crawfbr01,1,0,0,1,0,0,2,.000,.000,.000,.000,6,3,-0.049,0.94,0.000,-0.049,-0.4,0,1,SF
Joc Pederson LF\pederjo01,2,0,0,0,0,2,2,.000,.000,.000,.000,8,6,-0.073,1.45,0.000,-0.073,-0.6,1,0,
Kris Bryant LF\bryankr01,1,0,0,0,1,0,2,.000,.500,.000,.500,8,4,0.019,0.56,0.030,-0.012,0.1,0,0,
DJ LeMahieu 2B\lemahdj01,2,0,0,0,0,0,2,.000,.000,.000,.000,6,4,-0.055,1.04,0.000,-0.055,-0.4,1,3,
Joe Panik 2B\panikjo01,2,0,0,0,0,1,2,.000,.000,.000,.000,8,6,-0.036,0.76,0.000,-0.036,-0.4,0,1,
,,,,,,,,,,,,,,,,,,,,,
Zack Greinke P\greinza01,,,,,,,,,,,,,,,,,,,0,0,
Gerrit Cole P\colege01,,,,,,,,,,,,,,,,,,,0,0,
Madison Bumgarner P\bumgama01,,,,,,,,,,,,,,,,,,,0,0,
Clayton Kershaw P\kershcl01,,,,,,,,,,,,,,,,,,,0,0,
Jacob deGrom P\degroja01,,,,,,,,,,,,,,,,,,,0,0,
Francisco Rodriguez P\rodrifr03,,,,,,,,,,,,,,,,,,,0,0,
Mark Melancon P\melanma01,,,,,,,,,,,,,,,,,,,0,0,
Aroldis Chapman P\chapmar01,,,,,,,,,,,,,,,,,,,0,0,
Team Totals,33,3,6,3,2,9,36,.182,,,,130,80,-0.194,0.00,0.491,-0.686,-1.2,27,6,
