Date,DayofWeek,Visitor,Home,HomeGameNum,DayNight,Attendance,HomeAllStar,VisitorAllStar,HomeWinPct,VisitorWinPct
20160403,Sun,NYN,KCA,1,N,40030,0,0,0,0
20160403,Sun,TOR,TBA,1,D,31042,0,3,0,0
20160403,Sun,SLN,PIT,1,D,39500,1,0,0,0
20160404,Mon,CHN,ANA,1,N,44020,0,0,0,0
20160404,Mon,MIN,BAL,1,D,45785,3,0,0,0
20160404,Mon,CHA,OAK,1,N,35067,0,0,0,0
20160404,Mon,TOR,TBA,2,N,15116,0,3,0,1
20160404,Mon,SEA,TEX,1,D,49289,1,1,0,0
20160404,Mon,COL,ARI,1,N,48165,2,4,0,0
20160404,Mon,WAS,ATL,1,D,48282,1,0,0,0
20160404,Mon,PHI,CIN,1,D,43683,1,1,0,0
20160404,Mon,SFN,MIL,1,D,44318,0,0,0,0
20160404,Mon,LAN,SDN,1,D,44317,0,0,0,0
20160405,Tue,CHN,ANA,2,N,37042,0,0,0,1
20160405,Tue,BOS,CLE,1,D,34493,5,6,0,0
20160405,Tue,NYN,KCA,2,D,39782,0,0,1,0
20160405,Tue,HOU,NYA,1,D,47820,0,3,0,0
20160405,Tue,CHA,OAK,2,N,10478,0,0,0,1
20160405,Tue,TOR,TBA,3,N,12757,0,3,0,1
20160405,Tue,SEA,TEX,2,N,28386,1,1,1,0
20160405,Tue,COL,ARI,2,N,21830,2,4,0,1
20160405,Tue,DET,MIA,1,N,36911,1,1,0,0
20160405,Tue,SFN,MIL,2,N,24123,0,0,0,1
20160405,Tue,SLN,PIT,2,N,26049,1,0,1,0
20160405,Tue,LAN,SDN,2,N,28329,0,0,0,1
20160406,Wed,MIN,BAL,2,N,12622,3,0,1,0
20160406,Wed,BOS,CLE,2,N,10298,5,6,0,1
20160406,Wed,HOU,NYA,2,N,37493,0,3,0,1
20160406,Wed,CHA,OAK,3,N,16468,0,0,0,1
20160406,Wed,TOR,TBA,4,D,14257,0,3,0.3333333333333333,0.6666666666666666
20160406,Wed,SEA,TEX,3,D,26945,1,1,0.5,0.5
20160406,Wed,COL,ARI,3,D,18572,2,4,0.5,0.5
20160406,Wed,WAS,ATL,2,N,18531,1,0,0,1
20160406,Wed,PHI,CIN,2,N,21621,1,1,1,0
20160406,Wed,DET,MIA,2,D,17883,1,1,0,1
20160406,Wed,SFN,MIL,3,D,20098,0,0,0,1
20160406,Wed,SLN,PIT,3,N,14890,1,0,1,0
20160406,Wed,LAN,SDN,3,N,30054,0,0,0,1
20160407,Thu,TEX,ANA,3,N,39089,0,1,0,0.3333333333333333
20160407,Thu,MIN,BAL,3,N,11142,3,0,1,0
20160407,Thu,HOU,NYA,3,D,30003,0,3,0.5,0.5
20160407,Thu,CHA,OAK,4,D,12577,0,0,0.3333333333333333,0.6666666666666666
20160407,Thu,CHN,ARI,4,N,24656,2,0,0.3333333333333333,1
20160407,Thu,PHI,CIN,3,D,10784,1,1,1,0
20160407,Thu,LAN,SFN,4,D,41940,0,0,0.6666666666666666,1
20160407,Thu,MIA,WAS,3,D,41650,0,1,1,0
20160408,Fri,TEX,ANA,4,N,35207,0,1,0.3333333333333333,0.25
20160408,Fri,TBA,BAL,4,N,17304,3,0,1,0.5
20160408,Fri,CLE,CHA,5,D,38019,0,5,0.75,0.5
20160408,Fri,NYA,DET,3,D,45049,1,0,1,0.6666666666666666
20160408,Fri,MIN,KCA,3,N,27166,0,0,0.5,0
20160408,Fri,OAK,SEA,4,N,47065,1,0,0.6666666666666666,0.25
20160408,Fri,BOS,TOR,5,N,48871,3,6,0.5,0.5
20160408,Fri,CHN,ARI,5,N,27539,2,0,0.25,1
20160408,Fri,SLN,ATL,3,N,24824,1,0,0,0
20160408,Fri,PIT,CIN,4,N,17194,1,1,1,1
20160408,Fri,SDN,COL,4,D,49360,4,0,0.6666666666666666,0
20160408,Fri,HOU,MIL,4,N,30100,0,3,0.3333333333333333,0.3333333333333333
20160408,Fri,PHI,NYN,3,D,44099,0,1,0.5,0
20160408,Fri,LAN,SFN,5,N,41742,0,0,0.75,0.75
